epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1593.1,0.78435,0.9624,1.19242,0.59983,0.66525,0.59585,0.4587,0.90987,1.59347,1.39249,0.0009506,0.0009506,0.0009506
55,1613.35,0.77371,0.93966,1.19272,0.59044,0.65973,0.562,0.42802,0.98422,1.72841,1.47046,0.0009308,0.0009308,0.0009308
56,1633.34,0.78546,0.96568,1.19088,0.56567,0.72458,0.60097,0.44661,1.02013,1.53207,1.51174,0.000911,0.000911,0.000911
57,1653.52,0.77412,0.94759,1.19409,0.62793,0.68652,0.59958,0.46589,1.02376,1.54466,1.49964,0.0008912,0.0008912,0.0008912
58,1674.15,0.77419,0.91451,1.19328,0.62258,0.66949,0.6269,0.46953,1.05916,1.47364,1.5759,0.0008714,0.0008714,0.0008714
59,1693.89,0.75525,0.9459,1.16673,0.61871,0.64831,0.60305,0.47496,0.89448,1.51493,1.3838,0.0008516,0.0008516,0.0008516
60,1713.6,0.73986,0.91715,1.16828,0.60664,0.66949,0.62208,0.49002,0.92334,1.6563,1.38295,0.0008318,0.0008318,0.0008318
61,1733.72,0.72835,0.88246,1.15672,0.60933,0.65254,0.60712,0.48798,0.84808,1.40828,1.34489,0.000812,0.000812,0.000812
62,1753.53,0.73459,0.88227,1.14686,0.60401,0.67797,0.59637,0.47452,0.90667,1.53186,1.39105,0.0007922,0.0007922,0.0007922
63,1773.24,0.7165,0.89473,1.13201,0.53875,0.71186,0.55275,0.43942,0.92197,1.54482,1.39821,0.0007724,0.0007724,0.0007724
64,1793.24,0.70652,0.88183,1.14827,0.58861,0.7154,0.62075,0.49321,0.93465,1.52895,1.42312,0.0007526,0.0007526,0.0007526
65,1813.24,0.72277,0.889,1.16265,0.57656,0.72034,0.6065,0.4828,0.94131,1.54806,1.40605,0.0007328,0.0007328,0.0007328
66,1833.17,0.73471,0.86008,1.15288,0.59308,0.70339,0.57463,0.45269,0.95478,1.62126,1.46677,0.000713,0.000713,0.000713
67,1853.34,0.73812,0.86482,1.16336,0.56438,0.71186,0.58555,0.46437,0.98249,1.55195,1.53895,0.0006932,0.0006932,0.0006932
68,1873.9,0.70509,0.83844,1.15161,0.56945,0.65571,0.55908,0.43704,1.00195,1.45012,1.54458,0.0006734,0.0006734,0.0006734
69,1894.21,0.68604,0.80417,1.12997,0.5986,0.69068,0.64362,0.51133,0.90837,1.45903,1.44728,0.0006536,0.0006536,0.0006536
70,1914.77,0.65332,0.77584,1.10385,0.57432,0.67797,0.59898,0.4745,0.95841,1.49987,1.48448,0.0006338,0.0006338,0.0006338
71,1935.08,0.69144,0.84522,1.14514,0.57503,0.73729,0.57795,0.45383,0.91085,1.50217,1.39919,0.000614,0.000614,0.000614
72,1954.71,0.68249,0.82706,1.13667,0.59318,0.67961,0.60146,0.47876,0.89809,1.52841,1.4244,0.0005942,0.0005942,0.0005942
73,1974.4,0.70441,0.81979,1.13008,0.59937,0.67797,0.61067,0.48698,0.88355,1.55891,1.37096,0.0005744,0.0005744,0.0005744
74,1994.02,0.63742,0.75645,1.10313,0.60919,0.73977,0.63292,0.50944,0.99365,1.55958,1.51559,0.0005546,0.0005546,0.0005546
75,2014.32,0.6637,0.77579,1.12127,0.63013,0.64407,0.59816,0.46738,0.96136,1.60957,1.44747,0.0005348,0.0005348,0.0005348
76,2034.27,0.65857,0.75537,1.11679,0.59464,0.6822,0.57759,0.46081,0.86152,1.64043,1.36129,0.000515,0.000515,0.000515
77,2054.24,0.65073,0.76774,1.11313,0.56261,0.69068,0.59109,0.46581,0.87999,1.77109,1.39405,0.0004952,0.0004952,0.0004952
78,2074.38,0.62607,0.72221,1.10373,0.58118,0.6822,0.6071,0.49221,0.93301,1.54883,1.46282,0.0004754,0.0004754,0.0004754
79,2094.48,0.62615,0.73282,1.10259,0.63714,0.58475,0.59833,0.47586,0.87523,1.62265,1.37922,0.0004556,0.0004556,0.0004556
80,2114.63,0.65353,0.73924,1.0988,0.62547,0.67934,0.60313,0.48001,0.82446,1.62605,1.37975,0.0004358,0.0004358,0.0004358
81,2134.76,0.62693,0.70173,1.09253,0.61089,0.71186,0.604,0.48964,0.82882,1.56135,1.39694,0.000416,0.000416,0.000416
82,2153.59,0.64704,0.73447,1.12179,0.60458,0.71912,0.61554,0.48977,0.92524,1.65607,1.43754,0.0003962,0.0003962,0.0003962
83,2174.24,0.63894,0.72918,1.09092,0.6032,0.68644,0.60833,0.49456,0.84881,1.63221,1.35079,0.0003764,0.0003764,0.0003764
84,2194.07,0.5964,0.66302,1.07071,0.58742,0.69915,0.62115,0.50392,0.82787,1.58038,1.33799,0.0003566,0.0003566,0.0003566
85,2214.43,0.60804,0.66841,1.07613,0.56859,0.72458,0.62927,0.5151,0.829,1.71405,1.35442,0.0003368,0.0003368,0.0003368
86,2236.06,0.64363,0.66788,1.10888,0.57819,0.72034,0.62346,0.49935,0.88947,1.5864,1.40707,0.000317,0.000317,0.000317
87,2257.08,0.60721,0.68633,1.07175,0.60899,0.75847,0.63815,0.51238,0.8648,1.48004,1.38063,0.0002972,0.0002972,0.0002972
88,2277.09,0.57102,0.64191,1.0696,0.58792,0.67373,0.61171,0.48858,0.86999,1.70776,1.37724,0.0002774,0.0002774,0.0002774
89,2297.41,0.60783,0.66578,1.06902,0.5781,0.70339,0.61732,0.49384,0.87356,1.68,1.38535,0.0002576,0.0002576,0.0002576
90,2317.44,0.59669,0.64863,1.07304,0.65058,0.67797,0.63917,0.51019,0.85656,1.57684,1.38081,0.0002378,0.0002378,0.0002378
91,2357.91,0.55316,0.64431,1.0857,0.61334,0.71247,0.64468,0.5138,0.89593,1.538,1.42499,0.000218,0.000218,0.000218
92,2378.23,0.51548,0.58647,1.05134,0.62285,0.65779,0.63477,0.51902,0.9491,1.51524,1.4834,0.0001982,0.0001982,0.0001982
93,2398.57,0.51157,0.60926,1.05257,0.62215,0.68373,0.63043,0.51461,0.94332,1.56628,1.47737,0.0001784,0.0001784,0.0001784
94,2418.49,0.50159,0.55353,1.04649,0.61336,0.73271,0.65708,0.5406,0.93758,1.46305,1.48645,0.0001586,0.0001586,0.0001586
95,2439.34,0.48205,0.52747,1.00431,0.64077,0.71186,0.64845,0.52965,0.89359,1.51863,1.45718,0.0001388,0.0001388,0.0001388
96,2458.92,0.49822,0.52132,1.02944,0.63095,0.7027,0.6352,0.52019,0.88122,1.53189,1.47175,0.000119,0.000119,0.000119
97,2480.09,0.48346,0.55128,1.03635,0.64507,0.70763,0.64209,0.53214,0.91537,1.4379,1.51523,9.92e-05,9.92e-05,9.92e-05
98,2499.67,0.48244,0.51367,1.03205,0.65698,0.68644,0.63838,0.51725,0.93789,1.42497,1.51715,7.94e-05,7.94e-05,7.94e-05
99,2519.69,0.47568,0.52094,1.02345,0.64675,0.69045,0.62956,0.51184,0.94542,1.43156,1.51249,5.96e-05,5.96e-05,5.96e-05
100,2539.58,0.46383,0.51201,1.00273,0.61434,0.73305,0.63769,0.52083,0.92214,1.46602,1.48931,3.98e-05,3.98e-05,3.98e-05
